CompanyName,ID Number,Notes,Industry,Revenues ($m),Profits($m)
Wal-Mart Stores,1,,general merchandisers,469162,"16,999"
Exxon Mobil,2,,petroleum refining,449886,44880
Chevron,3,,petroleum refining,233899,26179
Phillips 66,4,,petroleum refining,169551,4124
Berkshire Hathaway,5,no info on website,insurance: property and casualty (stock),162463,14824
Apple,6,,"computers, office equipment",156508,41733
General Motors,7,,motor vehicles and parts,152256,6188
General Electric,8,,diversified financials,146874,13641
Valero Energy,9,,petroleum refining,138286,2083
Ford Motor,10,,motor vehicles and parts,134252,5665
AT&T,11,,telecommunications,127434,7264
Fannie Mae,12,,diversified financials,127230,17220
CVS Caremark,13,,food and drug stores,123133,3876.9
McKesson,14,,wholesalers: health care,122734,1403
Hewlett-Packard,15,,"computers, office equipment",120357,-12650
Verizon Communications,16,,telecommunications,115846,875
UnitedHealth Group,17,,health care: insurance and managed care,110618,5526
J.P. Morgan Chase & Co.,18,,commercial banks,108184,21284
Cardinal Health,19,,wholesalers: health care,107552,1069
International Business Machines,20,,information technology services,104507,16604
Bank of America Corp,21,,commercial banks,100078,4188
Costco Wholesale,22,,specialty retailers: other,99137,1709
Kroger,23,,food and drug stores,96751.3,1496.5
Express Scripts Holding,24,,health care: pharmacy and other services,94416.7,1312.9
Wells Fargo,25,,commercial banks,91247,18897
Citigroup,26,,commercial banks,90769,7541
Archer Daniels Midland,27,,food production,89038,1223
Procter & Gamble,28,,household and personal products,85120,10756
Prudential Financial,29,,"insurance: life, health (stock)",84838,469
Boeing,30,,aerospace and defense,81698,3900
Freddie Mac,31,,diversified financials,80635,10982
AmerisourceBergen,32,,wholesalers: health care,79720.5,719
Marathon Petroleum,33,,petroleum refining,76783,3389
Home Depot,34,,specialty retailers: other,74754,4535
Microsoft,35,,computer software,73723,16978
Target,36,,general merchandisers,73301,2999
Walgreen,37,,food and drug stores,71633,2127
American International Group,38,,insurance: property and casualty (stock),70143,3438
INTL FCStone,39,,diversified financials,69260.6,15
MetLife,40,,"insurance: life, health (stock)",68224,1324
Johnson & Johnson,41,,pharmaceuticals,67224,10853
Caterpillar,42,,construction and farm machinery,65875,5681
PepsiCo,43,,food consumer products,65492,6178
State Farm Insurance Cos.,44,,insurance: property and casualty,65285.7,3159.2
ConocoPhillips,45,,"mining, crude-oil production",63373,8428
Comcast,46,,telecommunications,62570,6203
WellPoint,47,,health care: insurance and managed care,61711.7,2655.5
Pfizer,48,,pharmaceuticals,61244,14570
Amazon.com,49,,internet services and retailing,61093,-39
United Technologies,50,,aerospace and defense,59783,5130
Dell,51,,"computers, office equipment",56940,2372
Dow Chemical,52,,chemicals,56786,1182
United Parcel Service,53,,"mail, package, and freight delivery",54127,807
Intel,54,,semiconductors and other electronic components,53341,11005
Google,55,,internet services and retailing,52203,10737
Lowe's,56,,specialty retailers: other,50521,1959
Coca-Cola,57,,beverages,48017,9019
Merck,58,,pharmaceuticals,47267,6168
Lockheed Martin,59,,aerospace and defense,47182,2745
Cisco Systems,60,,network and other communications equipment,46061,8041
Best Buy,61,,specialty retailers: other,45087,-441
Safeway,62,,food and drug stores,44206.5,596.5
FedEx,63,,"mail, package, and freight delivery",42680,2032
Enterprise Products Partners,64,,pipelines,42583.1,2419.9
Sysco,65,,wholesalers: food and grocery,42380.9,1121.6
Walt Disney,66,,entertainment,42278,5682
Johnson Controls,67,,motor vehicles and parts,41955,1226
Goldman Sachs Group,68,,commercial banks,41664,7475
CHS,69,,wholesalers: food and grocery,40599.3,1260.6
Abbott Laboratories,70,,pharmaceuticals,39873.9,5962.9
Sears Holdings,71,,general merchandisers,39854,-930
DuPont,72,,chemicals,39528,2788
Humana,73,,health care: insurance and managed care,39126,1222
World Fuel Services,74,,wholesalers: diversified,38945.3,189.3
Hess,75,,petroleum refining,38373,2025
Ingram Micro,76,,wholesalers: electronics and office equipment,37827.3,305.9
Plains All American Pipeline,77,,pipelines,37797,1094
Honeywell International,78,,aerospace and defense,37665,2926
United Continental Holdings,79,,airlines,37152,-723
Oracle,80,,computer software,37121,9981
Liberty Mutual Insurance Group,81,,insurance: property and casualty (stock),36944,829
HCA Holdings,82,,health care: medical facilities,36783,1605
Delta Air Lines,83,,airlines,36670,1009
Aetna,84,,health care: insurance and managed care,36595.9,1657.9
Deere,85,,construction and farm machinery,36157.1,3064.7
Supervalu,86,,food and drug stores,36100,-1040
Sprint Nextel,87,,telecommunications,35345,-4326
Mondelez International,88,,food consumer products,35015,3028
New York Life Insurance,89,,"insurance: life, health (mutual)",34308.6,1333.2
American Express,90,,commercial banks,33808,4482
News Corp.,91,,entertainment,33706,1179
Allstate ,92,,insurance: property and casualty (stock),33315,2306
Tyson Foods,93,,food production,33278,583
Massachusetts Mutual Life Insurance,94,,"insurance: life, health (mutual)",32872.2,1114.6
Tesoro,95,,petroleum refining,32484,743
Morgan Stanley,96,,commercial banks,32355,68
TIAA-CREF,97,,"insurance: life, health (mutual)",32156,2060
General Dynamics,98,,aerospace and defense,31513,-332
Philip Morris International,99,,tobacco,31377,8800
Nationwide,100,,insurance: property and casualty,30356.3,748.5
3M,101,,zMiscellaneous,29904,4444
DirecTV,102,,telecommunications,29740,2949
Cigna,103,,health care: insurance and managed care,29119,1623
Murphy Oil,104,,petroleum refining,28776.4,970.9
Time Warner,105,,entertainment,28729,3019
Halliburton,106,,"oil and gas equipment, services",28503,2635
International Paper,107,,forest and paper products,27833,794
Publix Super Markets,108,,food and drug stores,27706.8,1552.3
Macy's,109,,general merchandisers,27686,1335
Fluor,110,,"engineering, construction",27577.1,456.3
McDonald's,111,,food services,27567,5464.8
Hartford Financial Services Group,112,,insurance: property and casualty (stock),26412,-38
Rite Aid,113,,food and drug stores,26121.2,-368.6
Northwestern Mutual,114,,"insurance: life, health (mutual)",25957,783
TJX,115,,speciality retailers: apparel,25878.4,1906.7
Travelers Cos.,116,,insurance: property and casualty (stock),25740,2473
Avnet,117,,wholesalers: electronics and office equipment,25707.5,567
Aflac,118,,"insurance: life, health (stock)",25364,2866
Tech Data,119,,wholesalers: electronics and office equipment,25361,214.6
Northrop Grumman,120,,aerospace and defense,25218,1978
AMR,121,no info on website,airlines,24855,-1876
Staples,122,,specialty retailers: other,24671.9,-210.7
Emerson Electric,123,,"electronics, electrical equipment",24507,1968
Raytheon,124,,aerospace and defense,24414,1888
Occidental Petroleum,125,,"mining, crude-oil production",24253,4598
Nike,126,,apparel,24128,2223
Capitol One Financial,127,,commercial banks,23771,3517
Alcoa,128,,metals,23700,191
Exelon,129,,utilities: gas and electric,23489,1160
Eli Lilly,130,,pharmaceuticals,22603.4,4088.6
Xerox,131,,information technology services,22390,1195
U.S. Bancorp,132,,commercial banks,22202,5647
EMC,133,,computer peripherals,21713.9,2732.6
Time Warner Cable,134,,telecommunications,21386,2155
Baker Hughes,135,,"oil and gas equipment, services",21361,1311
Kimberly-Clark,136,,household and personal products,21063,1750
Goodyear Tire & Rubber,137,,motor vehicles and parts,20992,212
Union Pacific,138,,railroads,20926,3943
United Services Automobile Assn.,139,,insurance: property and casualty (stock),20728.6,2832.3
Manpower Group,140,,temporary help,20678,197.6
Arrow Electronics,141,,wholesalers: electronics and office equipment,20405.1,506.3
PBF Energy,142,,petroleum refining,20138.7,2
HollyFrontier,143,,petroleum refining,20090.7,1727.2
National Oilwell Varco,144,,"oil and gas equipment, services",20041,2491
Duke Energy,145,,utilities: gas and electric,19624,1768
Nucor,146,,metals,19429.3,504.6
United States Steel,147,,metals,19328,-124
Kohl's,148,,general merchandisers,19279,986
Qualcomm,149,,network and other communications equipment,19121,6109
CenturyLink,150,,telecommunications,18376,777
Kraft Foods Group,151,,food consumer products,18339,1642
Danaher,152,,"scientific, photographic, and control equipment",18270.3,2392.2
