Ticker,CompanyName,Notes,naics_orig,naics,Sector,Industry,@@@GLASSDOOR@@@,TotalReviews,OverallRating,Culture_Values,WorkLifeBalance,SeniorManagement,Compensation_Benefits,CareerOpportunities,Recommend,PositiveBusinessOutlook,TotalCEORatings,CEOApproval,TotalInterviews,PositiveInterviewExperience,NeutralInterviewExperience,NegativeInterviewExperience,InterviewDifficulty,TotalBenefitRatings,BenefitRating,@@@MINDSET_CODING@@@,xOTIOverall,OTI_Coded,OTI1_H,OTI2_H,OTI3_H,OTI4_H,OTI5_H,OTI6_H,OTI7_H,OTI8_H,rOTI2_H,Performance_H,Growth_H,TheBest_H,Motivated_H,Geniuses_H,WorkHard_H,Products_H,Clients_H,Competitors_H,Employees_H,Diversity_H,OTI1_S,OTI2_S,OTI3_S,OTI4_S,OTI5_S,OTI6_S,OTI7_S,OTI8_S,Performance_S,Growth_S,TheBest_S,Motivated_S,Geniuses_S,WorkHard_S,Products_S,Clients_S,Competitors_S,Employees_S,Diversity_S,rOTI5_H,rOTI7_H,rOTI2_S,rOTI5_S,rOTI7_S,xOTI_H,xOTI_S,diff_OTI_HvsS,VAR00001,xPerformance,xGrowth,xTheBest,xMotivated,xGeniuses,xWorkHard,xProducts,xClients,xCompetitors,xEmployees,xDiversity,xOTI_Dweck,@@@Compustat@@@,conm_2013,conm_2014,gvkey_2013,gvkey_2014,datadate_2013,datadate_2014,fyear_2013,fyear_2014,indfmt_2013,consol_2013,popsrc_2013,curcd_2013,fyr_2013,fyr_2014,emp_2013,emp_2014,gp_2013,gp_2014,sale_2013,sale_2014,ni_2013,ni_2014,revt_2013,revt_2014,at_2013,at_2014,dltt_2013,dltt_2014,ebit_2013,ebit_2014,seq_2013,seq_2014,teq_2013,teq_2014,xrd_2013,xrd_2014,costat_2013,costat_2014,spcsrc_2013,spcsrc_2014,DIV_str_C,DIV_str_E,DIV_str_H,DIV_con_A,DIV_con_C,DIV_con_D,DIV_str_num,DIV_con_num,CGOV_str_num,CGOV_con_num,CGOV_con_K,CGOV_con_L,CGOV_con_M,CGOV_str_G,CGOV_str_H,YEAR,CompanyAge,CompFounded,InsidersControl,InsidersPctg,DirectorsInside,DirectorsInsidePct,DirectorsOutside,DirectorsOver10YrsTenure,DirectorsOver10YrsTenurePct,DirectorsOver15YrsTenure,DirectorsOver15YrsTenurePct,DirectorsProblem,DirectorsProblemPct,DirectorsWomen,DirectorsWomenPct,DirectorsTotal,CEOCompensationYear,Tenure,CEOBaseSalary,CEOSharesHeld,CEOBonus,CEOTotAnnComp,CEOAllOtherCompensation,@@@@@@,ROE_2013,ROS_2013,xLogRev13,xLogRev14,xLogEmp13,xLogEmp14,xLogAt13,xLogAt14,xRisk13,xRisk14,xRD_intensity13,xRD_intensity14,xOTI_1SD,xEChange,@@@Process@@@,xOTI,xLEmp13,xLEmp14,xLRev13,xLAt13,CompAge,Overall,Culture,Reviews,ID,Exclude,filter_$,ZxOTIOverall,ZOverallRating
MMM,3M, ,322220,322220,31,Miscellaneous, ,1596,3.7,3.7,3.5,3.1,3.6,3.4,77,60,598,85,434, ,17,9,2.7,151,4.1, ,6,1,6,1,6,6,1,6,1,6,6,1,4,0,5,0,5,3,2,0,2,1,6,1,6,6,1,6,1,6,1,5,1,4,1,4,4,1,0,3,2,6,6,6,6,6,6,6,0, ,1,4.5,0.5,4.5,0.5,4.5,3.5,1.5,0,2.5,1.5,6, ,3M CO,3M CO,7435,7435,12/31/2013,12/31/2014,2013,2014,INDL,C,D,USD,12,12,88.667,89.8,16136,16782,30871,31821,4659,4956,30871,31821,33550,31269,4384,6790,6666,7135,17502,13109,17948,13142,1715,1770,A,A,A+,A+,0,0,1,0,0,0,1,0,1,0,0,0,0,1, ,2013,111,1902,No,0,1,0.090909,10,6,0.545455,1,0.090909,2,0.181818,2,0.181818,11,2012,1,1228373, ,0,3746909,523671, ,0.371406285,0.150918338,10.33757251,10.36788173,4.496102808,4.508659286,10.42079214,10.35038247,0.130670641,0.217147974,0.055553756,0.055623645,1,1.133, ,6,4.496102808,4.508659286,10.33757251,10.42079214,111,3.7,3.7,1596,101,0,1,1.131632194,0.897086803
ABT,Abbott Laboratories, ,325412,325412,31,pharmaceuticals, ,1166,3.6,3.3,3.2,2.9,3.8,3.2,70,59,588,78,267,64,23,12,3,143,4, ,5.5,1,6,1,6,6,1,6,1,6,6,1,5,0,5,0,5,5,1,0,4,2,5,2,5,5,2,5,2,5,2,4,3,2,3,2,1,2,0,3,2,6,6,5,5,5,6,5,1, ,1.5,4.5,1.5,3.5,1.5,3.5,3,1.5,0,3.5,2,5.5, ,ABBOTT LABORATORIES,ABBOTT LABORATORIES,1078,1078,12/31/2013,12/31/2014,2013,2014,INDL,C,D,USD,12,12,69,77,12781,12088,21848,20247,2576,2284,21848,20247,42953,41275,3388,3408,2674,2927,25171,21526,25267,21639,1452,1345,A,A,A-,A-,1,1,1,0,0,0,3,0,0,1,0,0,1,0, ,2013,125,1888,No,2.50E-05,1,0.090909,10,2,0.181818,0,0,1,0.090909,4,0.363636,11,2012,14,1900000, ,0,7469713,869713, ,0.105829738,0.117905529,9.991864663,9.915761913,4.248495242,4.356708827,10.66786177,10.62801227,0.078876912,0.082568141,0.066459172,0.066429595, ,8, ,5.5,4.248495242,4.356708827,9.991864663,10.66786177,125,3.6,3.3,1166,70,0,1,0.79397064,0.641382581
TEVA,Actavis,Teva acquired actavis; **Actavis is now known as Allergan**,325412,325412,31,pharmaceuticals, ,364,2.9,2.6,2.9,2.4,3.2,2.6,44,39,79,44,102,51,25,23,3.1,58,3.7, ,4.5, ,4,3,4,4,3,4,3,4,4,2,3,2,3,2,3,2,1,0,4,1,5,2,5,5,2,5,2,5,4,3,1,3,0,3,3,1,0,2,0,4,4,5,5,5,4,5,1, ,3,3,1.5,3,1,3,2.5,1,0,3,0.5,4.5, ,TEVA PHARMACEUTICALS,TEVA PHARMACEUTICALS,14538,14538,12/31/2013,12/31/2014,2013,2014,INDL,C,D,USD,12,12,44.945,43.009,12353,12595,20314,20272,1269,3055,20314,20272,47508,46420,10387,8566,4018,4696,22565,23313,22636,23355,1427,1488,A,A, , , , , ,0, , ,0,0,0,1,0,0,1,0, ,2013, , , , , , , , , , , , , , , , , , , , , , , , ,0.17750486,0.062469233,9.919065582,9.916995903,3.827445029,3.784394158,10.7686534,10.74548568,0.218636861,0.184532529,0.07024712,0.073401736, ,-1.936, ,4.5,3.827445029,3.784394158,9.919065582,10.7686534, ,2.9,2.6,364,432,0,1,0.118647531,-1.148546971
AAP,Advance Auto Parts, ,441310,441310,44,specialty retailers: other, ,1809,3,2.9,2.7,2.5,2.6,2.9,46,37,77,76,324,57,24,19,2.3,239,2.9, ,3, ,4,3,4,4,3,4,3,4,4,2,3,2,3,2,3,1,1,0,2,0,2,5,2,2,5,2,5,2,5,2,4,3,3,3,3,2,0,5,0,4,4,2,2,2,4,2,2, ,3.5,2.5,3,3,2.5,3,2,1.5,0,3.5,0,3, ,ADVANCE AUTO PARTS INC,ADVANCE AUTO PARTS INC,145977,145977,12/31/2013,12/31/2014,2013,2014,INDL,C,D,USD,12,12,54.278,73,3459.941,4745.152,6493.814,9843.861,391.758,493.825,6493.814,9843.861,5564.774,7962.358,1052.668,1636.311,693.305,933.944,1516.205,2002.912,1516.205,2002.912,0,0,A,A,A+,A+,0,0,0,0,0,0,0,0,0,0,0,0,0, , ,2013,28,1985,No,0.015,2,0.222222,6,2,0.222222,0,0,1,0.111111,1,0.111111,9,2012,5,700000, ,0,756726,56726, ,0.457263365,0.060327875,8.77860531,9.194603291,4.012374999,4.304065093,8.624211652,8.982480466,0.189166352,0.205505831,0,0, ,18.722, ,3,4.012374999,4.304065093,8.77860531,8.624211652,28,3,2.9,1809,409,0,1,-0.894337132,-0.892842749
AMD,Advance Micro Devices, ,334413,334413,31,semiconductors and other electronic components, ,1783,3.4,3.3,3.6,2.8,3.1,3.2,62,47,257,86,434,71,22,6,3,102,3.6, ,5.5,1,6,1,6,6,1,6,1,6,6,0,5,0,5,0,5,1,2,0,3,0,5,2,5,5,2,5,2,5,3,5,1,4,0,4,3,1,0,1,0,6,6,5,5,5,6,5,1, ,1.5,5,0.5,4.5,0,4.5,2,1.5,0,2,0,5.5, ,ADVANCED MICRO DEVICES,ADVANCED MICRO DEVICES,1161,1161,12/31/2013,12/31/2014,2013,2014,INDL,C,D,USD,12,12,10.671,9.687,2117,1954,5299,5506,-83,-403,5299,5506,4337,3767,1998,2035,85,149,544,187,544,187,1201,1072,A,A,C,C,0,0,1,0,0,0,1,0,0,0,0,0,0, , ,2013,44,1969,No,0.1958,1,0.1,8,2,0.2,0,0,0,0,1,0.1,10,2012,2,1000002, ,0,1957073,388571, ,0.15625,-0.015663333,8.575273402,8.613593686,2.457107132,2.36902805,8.374938144,8.234034208,0.460687111,0.54021768,0.226646537,0.194696695, ,-0.984, ,5.5,2.457107132,2.36902805,8.575273402,8.374938144,44,3.4,3.3,1783,464,0,1,0.79397064,0.129974138
ACM,AECOM Technology, ,541330,541330,54,"engineering, construction", ,3153,3.2,3.1,3.2,2.8,3.1,3.1,61,49,1086,67,561,66,22,11,2.7,311,3.2, ,5.5,1,6,1,6,6,1,6,1,6,6,0,5,0,5,0,5,2,2,0,4,1,5,2,5,5,2,5,2,5,3,4,3,4,1,4,4,3,0,2,1,6,6,5,5,5,6,5,1, ,1.5,4.5,1.5,4.5,0.5,4.5,3,2.5,0,3,1,5.5, ,AECOM INC,AECOM INC,147988,147988,9/30/2013,9/30/2014,2013,2014,INDL,C,D,USD,9,9,45.5,43.3,541.888,496.276,8153.495,8356.783,239.243,229.854,8153.495,8356.783,5665.623,6123.377,1089.06,939.565,352.67,322.268,2021.443,2186.517,2074.094,2272.48, , ,A,A, , ,0,0,0,0,0,0,0,0,1,0,0,0,0,1, ,2013,0,1990,No,0.0489,2,0.181818,7,5,0.454545,1,0.090909,2,0.181818,1,0.090909,11,2012,8,1075006, ,0,2741396,126390, ,0.170035688,0.029342386,9.006201949,9.030828823,3.839452313,3.790984677,8.642172141,8.719869021,0.192222462,0.153439026, , , ,-2.2, ,5.5,3.839452313,3.790984677,9.006201949,8.642172141,0,3.2,3.1,3153,320,0,1,0.79397064,-0.381434306
AES,AES, ,22111,22111,22,utilities: gas and electric, ,253,4,4.1,3.4,3.5,4,3.5,86,67,153,90,27,59,18,22,2.9,24,4, ,3.5, ,5,2,5,5,2,5,2,5,5,1,4,1,4,1,4,2,3,0,4,0,2,5,2,2,5,2,5,2,5,1,4,2,4,1,2,1,0,5,0,5,5,2,2,2,5,2,3,1,3,2.5,2.5,3,2.5,2.5,2,2,0,4.5,0,3.5, ,AES CORP,AES CORP,24216,24216,12/31/2013,12/31/2014,2013,2014,INDL,C,D,USD,12,12,22,18.5,4505,4351,15891,17146,114,769,15891,17146,40411,38966,18869,18725,3027,2901,4330,4272,7651,7325, , ,A,A,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0, , ,2013,28,1981,No,0,1,0.083333,10,3,0.25,0,0,2,0.166667,2,0.166667,12,2012,2,1000000, ,0,3455520,153506, ,0.395634558,0.007173872,9.67350819,9.749520189,3.135494216,2.970414466,10.6068573,10.57044475,0.466927322,0.480547144, , , ,-3.5, ,3.5,3.135494216,2.970414466,9.67350819,10.6068573,28,4,4.1,253,153,0,1,-0.556675577,1.664199468
AET,Aetna, ,524114,524114,52,health care: insurance and managed care, ,1653,3.2,3.2,3.2,2.8,3.2,2.8,60,50,823,76,468,66,20,12,2.8,315,3.5, ,5.5,1,5,2,5,5,2,5,2,5,5,2,3,1,4,1,4,2,3,0,4,0,6,1,6,6,1,6,1,6,1,4,0,4,0,3,2,1,0,3,0,5,5,6,6,6,5,6,1, ,1.5,3.5,0.5,4,0.5,3.5,2,2,0,3.5,0,5.5, ,AETNA INC,AETNA INC,1177,1177,12/31/2013,12/31/2014,2013,2014,INDL,C,D,USD,12,12,48.6,48.8,12093.5,15091.5,47284.9,58003.2,1913.6,2040.8,47284.9,58003.2,49871.8,53402.1,7865.3,7852,3505.9,4219.7,14025.5,14482.6,14078.2,14551.8, , ,A,A,B+,B+,1,1,1,0,0,0,3,0,0,0,0,0,0,0, ,2013,160,1853,No,0.0118,1,0.083333,10,6,0.5,3,0.25,1,0.083333,4,0.333333,12,2012,3,977159, ,0,2126930,256971, ,0.249030416,0.040469579,10.76394628,10.96825346,3.903990834,3.908014984,10.81721099,10.88560535,0.157710369,0.147035416, , , ,0.2, ,5.5,3.903990834,3.908014984,10.76394628,10.81721099,160,3.2,3.2,1653,84,0,1,0.79397064,-0.381434306
AFL,Aflac, ,524114,524114,52,"insurance: life, health (stock)", ,1857,3.4,3.8,3.8,3.4,3.2,3.4,61,55,918,92,990,45,28,25,1.8,231,2.6, ,6,1,6,1,6,6,1,6,1,6,6,1,4,0,5,0,5,1,2,1,1,0,6,1,6,6,1,6,1,6,2,4,1,4,1,3,3,2,0,1,0,6,6,6,6,6,6,6,0, ,1.5,4,0.5,4.5,0.5,4,2,2,0.5,1,0,6, ,AFLAC INC,AFLAC INC,1449,1449,12/31/2013,12/31/2014,2013,2014,INDL,C,D,USD,12,12,9.141,9.525,5165,4855,23939,22728,3158,2951,23939,22728,121307,119767,4571,4854,5109,4808,14620,18347,14620,18347, , ,A,A,A-,A-,0,1,1,0,0,0,2,0,1,0,0,0,0, ,1,2013,58,1955,No,0.2108,3,0.214286,9,8,0.571429,6,0.428571,0,0,2,0.142857,14,2012,23,1441100, ,0,6766536,252764, ,0.349452804,0.131918627,10.08326421,10.03135292,2.316586613,2.35375338,11.7060798,11.69330347,0.037681255,0.040528693, , ,1,0.384, ,6,2.316586613,2.35375338,10.08326421,11.7060798,58,3.4,3.8,1857,118,0,1,1.131632194,0.129974138
AGCO,AGCO, ,333111,333111,31,construction and farm machinery, ,194,3.2,3.1,3.4,2.6,3.3,3,69,39,83,71,36,53,25,21,2.6,25,3.7, ,5.4375,1,5,2,5,5,2,5,2,5,5,1,4,1,4,1,4,3,4,2,5,0,6,1,6,5,1,6,1,6,4,1,1,4,0,5,2,3,0,4,1,5,5,6,6,6,5,5.875,0.875, ,2.5,2.5,1,4,0.5,4.5,2.5,3.5,1,4.5,0.5,5.5, ,AGCO CORP,AGCO CORP,25180,25180,12/31/2013,12/31/2014,2013,2014,INDL,C,D,USD,12,12,22.111,20.828,2602.2,2305.7,10786.9,9723.7,597.2,410.4,10786.9,9723.7,8438.8,7395.9,938.5,997.6,900.7,692.9,4010.2,3448.5,4044.8,3496.9,353.4,337,A,A,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0, , ,2013,19,1990,No,0.041,2,0.25,6,2,0.25,0,0,0,0,1,0.125,8,2012,9,1205611, ,300000,3500427,74880, ,0.222680973,0.05536345,9.286087714,9.182321483,3.140308695,3.083193549,9.040595397,8.908681072,0.111212495,0.134885545,0.032761961,0.034657589, ,-1.283, ,5.4375,3.140308695,3.083193549,9.286087714,9.040595397,19,3.2,3.1,194,272,0,1,0.751762946,-0.381434306
